piece_id,descr,category
19981pr0047,Dimensions Stand - Toy Tag 4 x 4 x 2/3 with 2 Studs - Jake the Dog #47 with Video Game Joystick and Wood Grain print,"Power Functions, Mindstorms and Electric"
32569,Bionicle Mask Akaku,"Bionicle, Hero Factory and Constraction"
3626cpr1661,MINI HEAD NO 1661,Minifigs
75115a,Duplo Figure - Clown with Green Parted Wavy Hair and Painted Light Flesh Face - Striped Jacket with Bow Tie - Medium Blue Legs,"Non-Buildable Figures (Duplo, Fabuland, etc)"
18868b,Dimensions Stand - Toy Tag 4 x 4 x 2/3 with 4 Studs - Top and Bottom Different Colors Placeholder (Generic for Gadgets),Other
3626bpb0440,"Minifig Head with Black Eyes and Eyebrows, Two-Color Cheek Paint Print [Blocked Open Stud]",Minifigs
42057stk01,Sticker Sheet for Set 42057 - 29041/6171760,Non-LEGO
6111pb019,Brick 1 x 10 with Dark Purple 'September' and 'October' Print on Opposite Sides,Bricks Printed
19981pr0062,Function Brick 4X4X2/3 No. 2. No. 62,"Power Functions, Mindstorms and Electric"
18918,Cake Swirl Decoration with Top Stud,"Duplo, Quatro and Primo"
973pr3310c01,Torso SW Vest Robe Front with Blue Name Badge over Tan Undershirt Reddish Brown Belt with Buckle - Back with Belt and Straight Center Seam and Angled Side Seams / Tan Arms / Dark Orange Hands,Minifigs
3626bpb0165,"Minifig Head Moustache Open Mouth, Goatee, V Brow Eyes, Black Hair, Stubble Print [Blocked Open Stud]",Minifigs
973pb1386,Torso Ninjago Robe with Grey and Silver Sash Print,Minifigs
973pr3127c01,MINI UPPER PART NO. 3127,Minifigs
9474stk01,Sticker for Set 9474 - (10636/6005725),Non-LEGO
973pr2615c01,Torso Simpsons Vest over Flesh Top Print / Yellow Arms with Flesh Short Sleeves / Yellow Hands,Minifigs
3626cpr2021,"MINI HEAD, NO. 2021",Minifigs
75902pr0003a,Minifig Shield - Round with Rounded Front and Gold Eagle Print,Minifig Accessories
98088pat0003, Dino Wing Pteranodon - Left with Marbled Dark Bluish Gray Edge Pattern,Plants and Animals
21527,Sticker Sheet for 75100-1,Non-LEGO
973pr3521c01,"MINI UPPER PART, NO. 3521",Minifigs
2431pr0088,Tile 1 x 4 with Silver 'SEVEN 620' and Red 'R' print,Tiles Printed
973pr3460c01,MINI UPPER PART NO 3460,Minifigs
970c00,Legs and Hips [Complete Assembly],Minifigs
22385pr0018,"Tile, Modified 2 x 3 Pentagonal with Nexo Power Shield Pattern - Whirl Wind",Tiles Printed
fabei7,Utensil Carpet Beater,"Belville, Scala and Fabuland"
52027,½ CIRCLE W/SLIT 8X5X3,Other
973pr2836c01,Torso Ragged Crop Top with Bone Clasp Print (Lady Cyclops) / Sand Blue Arms / Sand Blue Hands,Minifigs
973pr3022c01,MINI UPPER PART NO. 3022,Minifigs
3070bpr0102,Tile 1 x 1 with Silver '@' Print,Tiles Printed
3069bpr0144,"Tile 1 x 2 with Lighthouse, Sailboat and 'I Heart HLC' Print",Tiles Printed
12693,BRICK 2X10X2 ARCH NO. 1 Circus,"Duplo, Quatro and Primo"
18018,Duplo Utensil Axe / Tomahawk,"Duplo, Quatro and Primo"
8297stk01,Sticker for Set 8297 - (63280/4528466),Non-LEGO
22385pr0012,Tile Special 2 x 3 Pentagonal with Nexo Power Shield Print - 3 Arrows,Tiles Special
32171pb017,"Throwbot Disk, Ski / Ice, 6 pips, Ski jumping away from snow creature Print","Bionicle, Hero Factory and Constraction"
3626bpr0454,"Minifig Head Moustache Thin, Standard Grin, Eyebrows, Small Eyelashes Print (SW Lando) [Blocked Open Stud]",Minifigs
87754,Minifig Helmet - Underwater Atlantis,Minifig Accessories
6216m,"Electric, Motor 4.5V","Power Functions, Mindstorms and Electric"
3933,Wedge Plate 8 x 4 Wing Left,Plates Angled
61406pat0002,Plate Special 1 x 2 with Angular Extension and Flexible Lime Tip [Lime],Plates Special
973pr3389c01,MINI UPPER PART NO.3389,Minifigs
92456pr0093c01,Torso Friends [41171],Minifigs
47543pr0001,Cone Half 8 x 4 x 6 with Roof Shingles Print,Bricks Round and Cones
62604,Shark Head [Plain],Other
973pr2327c01,Torso White Stripes with Silver Chains and Heart Necklace Print / Yellow Arms / Yellow Hands,Minifigs
27291,MINI FAN NO. 1,Other
33243,Brick 1 x 3 x 2 with Curved Top,Bricks Curved
30145p01,Brick 2 x 2 x 3 with White Stripes Black Outlined Print,Bricks Printed
75909stk01,Sticker Sheet for Set 75909 - 19244/6097421 or 19850/6102495,Non-LEGO
78c08,"Hose, Ribbed 7mm D. 8L",Tubes and Hoses
88065pr0002,"Minifig, Spacesuit Wing with Red and White Stripes and Purple Wing Surface print (Buzz Lightyear CMF)",Minifig Accessories
29583,Sticker for Set 60150,Non-LEGO
26371pr07,King Pig,Minifigs
973pr3575c01,"MINI UPPER PART, NO. 3575",Minifigs
54757,Subpart of LDD Electric Train Motor 54754,Other
3794,Plate Special 1 x 2 with 1 Stud [Undetermined Type],Plates Special
973pr3578c01,"MINI UPPER PART, NO. 3578",Minifigs
4760pb01,Electric 9V Battery Box Small Complete Assembly with 'POLICE' and Black Stripes Print,"Power Functions, Mindstorms and Electric"
973pr1390c01,"Torso Speed Racer Pullover Open Collar, Diagonal Wrinkles Print / Blue Arms / Light Flesh Hands",Minifigs
98223pr0010,Duplo Brick 2 x 4 Curved Top with Animal Paw print,"Duplo, Quatro and Primo"
48563,Duplo Tile 2 x 2 with Lowercase v Print,"Duplo, Quatro and Primo"
87513,Electric 9V Battery Box Power Functions (Non-Rechargeable) - Top Part,"Power Functions, Mindstorms and Electric"
6632,Technic Beam 1 x 3 Thin,Technic Beams
973p0a,Torso Zipper Curved on Jacket and Pocket Print (white zipper),Minifigs
32192,Technic Axle and Pin Connector Angled #4 - 135°,Technic Connectors
3069pr0145,Tile 1 x 2 with 'Once upon a time...' and Gold Scrollwork Print,Tiles Printed
973pr2921c01,Torso SW Armor Camouflage Clone Trooper Print / Medium Dark Flesh Arms / Black Hands,Minifigs
973pr1300c01,"Torso Aquazone Aquaraiders II Trident, Silver Belt and Zipper Print / Medium Blue Arms / Black Hands",Minifigs
60100stk01,Sticker Sheet for Set 60100 - 24545/6133211 or 24550/6133217,Non-LEGO
27186,"MINI WIG, NO. 122",Minifigs
15573,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),Plates Special
22385pr0020,"Tile, Modified 2 x 3 Pentagonal with Nexo Power Shield Pattern - Flash Cannon",Tiles Printed
26603,Tile 2 x 3,Tiles
42604pr01,"Aircraft Fuselage Angular Top 6 x 8 x 4 with Door on Blue, Green, and Yellow Stripes Print",Windscreens and Fuselage
33690,"RIM NARROW Ø14,6X9,9 HOLE Ø3,2 NO.1",Other
14769pr1059,"FLAT TILE 2X2, ROUND, NO. 1059",Tiles Printed
22385pr0021,"Tile, Modified 2 x 3 Pentagonal with Nexo Power Shield Pattern - Wall Block",Tiles Printed
3069bp50,Tile  1 x  2 with Explorien Controls Print,Tiles Printed
93801,Duplo Arch 2 x 10 x 2 with Police Badge Decoration,"Duplo, Quatro and Primo"
973pr3688c01,"MINI UPPER PART, NO. 3688",Minifigs
57552,"Bionicle Head, Barraki Pridak [Plain]",Other
973pr3524c01,"MINI UPPER PART, NO. 3524",Minifigs
26341,"WALL ELEMENT 1X4X3, ABS NO. 1",Panels
31213pb06,"Duplo, Brick 2 x 4 x 2 Curved Top with 'TIDMOUTH' and Clock Print","Duplo, Quatro and Primo"
2961b,"Duplo, Train Locomotive Base with Battery Compartment","Duplo, Quatro and Primo"
87079pr0088,FLAT TILE 2X4 NO. 88,Tiles Printed
973pr3084c01,MINI UPPER PART NO. 3084,Minifigs
47575pr0004,Duplo Figure Woman with Bobbed Hair - Nurse,"Non-Buildable Figures (Duplo, Fabuland, etc)"
52668,Technic Brick 6 x 8 Open Center with 2 Fixed Rotatable Friction Pins on 3 Sides,Technic Bricks
19981pr0049,Function Brick 4X4X2/3 No. 2. No. 49 [71245-1],"Power Functions, Mindstorms and Electric"
15535pr0002,"Tile, Round 2 x 2 with Hole with Propeller with 3 Blades Pattern",Tiles Special
98163pr01,"Dino Leg Large (Rear) T-Rex with Pin, Tan Claws and Dark Brown Stripes on Dark Red Print - Right",Plants and Animals
2431pr0089,Tile 1 x 4 with Black 'CATERHAM' print,Tiles Printed
98138pr0059,Tile 1 x 1 Round with Circle and Dark Red Blob Print,Tiles Printed
64804pr02,Minifig Head Modified Yoda Straight Ears with Large Eyes and White Hair Print,Minifigs
973pr3273,Minifig Torso Dual Sides Batman Jacket - Zipper Pockets and ID Badge on Front - 'LEXCORP' on Back print / Dark Green Arms / Black Hands,Minifigs
2807,Tyre for Bicycle Wheel,Wheels and Tyres
23924,STRING 500MM W/5.9 BALL,"String, Bands and Reels"
12551pr0003,"Minifig Mask Chima Crocodile with Teeth, Earrings and Olive Green Stripes Print",Minifig Accessories
14769pr1054,Tile 2 x 2 Round with Bottom Stud Holder with Roman Numerals Clock Print,Tiles Printed
973pr3356c01,MINI UPPER PART NO. 3356,Minifigs
75115pr0003,Duplo Figure - Male with Parted Wavy Hair and Light Flesh Face - Garbage Collector,"Non-Buildable Figures (Duplo, Fabuland, etc)"
973pr3499c01,"MINI UPPER PART, NO. 3499",Minifigs
15084pr0001,"Minifig Mask Feline with Black Nose, Leopard Spots and Fangs Print",Minifig Accessories
5102c195,"Hose, Pneumatic 4mm D. 195L",Tubes and Hoses
973pr3040c01,MINI UPPER PART NO. 3040,Minifigs
fab12b,Fabuland Figure Raccoon 2,Minifigs
50659c02pb01,Large Figure Torso with Dracus Print (Black Front and Silver Trim) - Series 3 - Brick 2 x 2 Relief (base part number is in question),"Bionicle, Hero Factory and Constraction"
75113pr0008,"Duplo Figure Female with Tan Ponytail Hair, Brown Eyes, Bright Light Blue Top, White Legs,","Non-Buildable Figures (Duplo, Fabuland, etc)"
973px99c01,"Torso Castle Ninja Armor Plate, Blue Collar Print (Samurai) / Red Arms / Yellow Hands",Minifigs
4150pr0007,Tile Round 2 x 2 with Treasure Map Print,Tiles Printed
973pr2184c01,"Torso Ripped Suit Jacket, Tan Shirt and Dark Bluish Gray Tie Print / Reddish Brown Arms / Light Bluish Gray Hands",Minifigs
30602,"Brick Curved 2 x 2 Lip, No Studs",Bricks Curved
60483,Technic Beam 1 x 2 Thick with Pin Hole and Axle Hole,Technic Beams
3626cpr2006,Minifig Head Dual Sided Old Lady / Scary Ghost Lady Print (Ghostbusters Library Ghost) [Hollow Stud],Minifigs
28907,Cape Super Hero Girls with 1 Hole,Minifig Accessories
10252stk01,Sticker Sheet for Set 10252 - 26953/6153756 or 26952/6153754,Non-LEGO
