// From https://rebrickable.com/colors
,,,,,,,315:SILVER MET.,,,,
76,Speckle DBGray-Silver,#635F61,11,6,2006,2006,,76,117,DkStoneGlitter,134
29,Bright Pink,#E4ADC8,16692,493,2003,2017,"222:Light Purple,",29,104,BtPink,45
,,,,,,,222:LGH. PURPLE,,,,
351,Medium Dark Pink,#F785B1,20,2,1993,1993,"22:Medium Reddish Violet,",351,94,DuploRose,75
,,,,,,,22:MD.REDVIOL,,,,
13,Pink,#FC97AC,739,115,1991,2016,1007:L.REDVIOL,13,23,Pink,3
77,Light Pink,#FECCCF,12,11,1994,2007,223:Light Pink,77,56,"ParaPink, LtPink",68
100,Light Salmon,#FEBABD,30,6,1997,2004,100:Light red,100,26,LtSalmon,5
320,Dark Red,#720E0F,49208,1474,2001,2017,"154:Dark red,",320,59,DkRed,56
,,,,,,,154:NEW DARK RED,,,,
ID,Name,RGB,Num Parts,Num Sets,From Year,To Year,LEGO Color(s),LDraw Color(s),BrickLink Color(s),Peeron Color(s),BrickOwl Color(s)
47,Trans-Clear,#FCFCFC,44763,5283,1950,2017,"40:Transparent,",47,12,Clear,97
,,,,,,,40:TR.,,,,
117,Glitter Trans-Clear,#FFFFFF,22,12,2003,2016,"117:Transparent Glitter,",117,101,ClearGlitter,131
,,,,,,,117:TR.W.GLITTER,,,,
36,Trans-Red,#C91A09,22029,4785,1969,2017,"41:Tr. Red,",36,17,TrRed,108
,,,,,,,41:TR.RED,,,,
57,Trans-Neon Orange,#FF800D,6085,1315,1993,2017,"47:Tr. Flu. Reddish orange,",38,18,TrNeonOrange,161
,,,,,,,47:TR.FL.REDORA,,,,
1004,Trans Flame Yellowish Orange,#FCB76D,0,0,,,1017:TR. FL. YEL ORA,,164,,
182,Trans-Orange,#F08F1C,11259,1994,1999,2017,"182:Tr. Bright Orange,",57,98,TrDkOrange,105
,,,,,,,182:TR. BR. ORANGE,,,,
32,Trans-Black IR Lens,#635F52,0,0,,,,32,,,
40,Trans-Black,#635F52,12194,2271,1991,2017,"111:Tr. Brown,",40,13,Smoke,95
,,,,,,,111:TR.BROWN,,,,
46,Trans-Yellow,#F5CD2F,11108,2409,1969,2017,"44:Tr. Yellow,",46,19,"TrYellow, TrLtYellow",109
,,,,,,,44:TR.YEL,,,,
54,Trans-Neon Yellow,#DAB000,12,8,2001,2015,157:Transparent Fluorescent Yellow,54,121,TrPeach,104
1005,Trans Fire Yellow,#FBE890,0,0,,,234:TR. FIRE YELL,,,,
42,Trans-Neon Green,#F8F184,6932,1134,1988,2017,"49:Tr. Flu. Green,",42,16,TrNeonGreen,103
,,,,,,,49:TR.FL.GREEN,,,,
35,Trans-Bright Green,#D9E4A7,1294,302,2003,2017,"227:Transparent Bright Yellowish Green,",35,108,TrBtGreen,96
,,,,,,,"311:Transparent Bright Green,",,,,
,,,,,,,"227:TR. BR. YEL GR,",,,,
,,,,,,,311:TR. BR. GREEN,,,,
1002,Glitter Trans-Neon Green,#C0F500,8,5,2015,2016,1013:TR.FL.GRE W/GLI,,163,,167
294,Glow In Dark Trans,#BDC6AD,78,19,2005,2015,"294:Phosphorescent Green,",294,118,TrGlowInTheDark,128
,,,,,,,294:PH.GREEN,,,,
34,Trans-Green,#84B68D,4510,1383,1969,2017,"48:Tr. Green,",34,20,TrGreen,100
,,,,,,,48:TR.GREEN,,,,
41,Trans-Light Blue,#AEEFEC,13027,2024,1985,2017,"42:Tr. Lg blue,",43,15,TrLtBlue,101
,,,,,,,42:TR.L.BLUE,,,,
1003,Glitter Trans-Light Blue,#68BCC5,16,6,2015,2017,1014:PCTR LI.BLUE W/,,162,,165
43,Trans-Very Lt Blue,#C1DFF0,148,25,2003,2006,"229:Transparent Light Bluish Green,",39,113,TrIceBlue,25
,,,,,,,229:TR. LGH. BL. GR,,,,
1006,Trans Light Royal Blue,#B4D4F7,2,1,2005,2005,"293:TR. L.ROYAL BLUE,",,,,
,,,,,,,293:TR.L.ROYAL BLUE,,,,
143,Trans-Medium Blue,#CFE2F7,1035,236,2001,2017,"143:Tr. Flu. Blue,",41,74,TrMdBlue,102
,,,,,,,143:TR.FL. BLUE,,,,
33,Trans-Dark Blue,#0020A0,9620,1598,1978,2017,"43:Tr. Blue,",33,14,TrBlue,98
,,,,,,,43:TR.BLUE,,,,
52,Trans-Purple,#A5A5CB,940,203,2000,2017,"126:Tr. Bright bluish violet,",52,51,TrPurple,107
,,,,,,,"126:TR.KL.BL.VIO,",,,,
,,,,,,,236:TR. BR. RED. LI,,,,
129,Glitter Trans-Purple,#A5A5CB,38,17,2000,2016,"129:Tr. Bright Bluish Violet w. Glitter 2%,",129,102,TrPurpleGlitter,22
,,,,,,,129:TR.BR.BL.V.G,,,,
236,Trans-Light Purple,#96709F,28,9,2005,2005,"284:TR. RED-LILAC,",44,114,TrLilac,26
,,,,,,,284:TR. RE-LILAC,,,,
230,Trans-Pink,#E4ADC8,260,29,2003,2006,230:TR. BR. PURPLE,45,107,TrLtPink,106
45,Trans-Dark Pink,#DF6695,1990,382,1999,2017,"113:Tr. Medi. reddish violet,",37,50,TrPink,99
,,,,,,,113:TR.ML.R.VIOL,,,,
114,Glitter Trans-Dark Pink,#DF6695,181,31,1999,2012,"114:Tr. Medium Reddish-Violet w. Glitter 2%,",114,100,TrPinkGlitter,132
,,,,,,,114:TR.M.R.V.GLI,,,,
